Benchmark,Accuracy,Max Turns Hit,Invalid Plan,Time (s),Total Samples,Successful Samples,Error Samples,Success Rate
NVDLibraryBenchmark,0.5769,0.0000,0.0000,159.37,78,78,0,1.0000
VirusTotalBenchmark,0.7285,0.0000,0.0000,236.61,151,151,0,1.0000
ITType0Benchmark,0.2613,0.0000,0.0000,150.26,111,111,0,1.0000
ITType1Benchmark,0.4720,0.0000,0.0000,263.57,125,125,0,1.0000
TicketTracking,0.3956,0.0000,0.0000,164.63,91,91,0,1.0000
LangChainMath,0.6000,0.0000,0.0000,115.44,20,20,0,1.0000
LangChainRelational,0.9000,0.0000,0.0000,104.78,20,20,0,1.0000
MultiverseMathHard,0.0900,0.1300,0.0300,5989.05,100,100,0,1.0000
LangChainMultitoolTypeWriterHard,0.8000,0.1333,0.0000,4142.87,30,30,0,1.0000
LangChainTypeWriterHard,0.4667,0.1000,0.0000,2767.82,30,30,0,1.0000
ClimateBenchmark,0.5533,0.0051,0.0102,3079.89,197,197,0,1.0000
TMIHallucination,0.7377,0.0000,0.0000,419.18,61,61,0,1.0000
CVECPEBenchmark,0.3750,0.0000,0.0179,886.84,56,56,0,1.0000
VirusTotalAgentic,0.2593,0.0000,0.0556,643.86,54,54,0,1.0000
